Fecha,TempMedia,TempMax,HorMinTempMax,TempMin,HorMinTempMin,HumedadMedia,HumedadMax,HorMinHumMax,HumedadMin,HorMinHumMin,VelViento,DirViento,VelVientoMax,HorMinVelMax,DirVientoVelMax,Radiacion,Precipitacion,TempSuelo1,TempSuelo2,EtPMon,PePMon,Estacion
2004-03-31,13.366,18.31,1220,7.21,2300,68.256,94.3,0,47.11,1500,2.623,237.1,8.05,1514,213.8,12.24,0.8,,,2.709808349609375,0.0,IB02
2004-04-01,12.37,19.45,1130,6.151,330,78.7,96.5,710,40.87,1310,2.107,243.7,7.9,1355,217.1,21.98,0.0,,,3.463503122329712,0.0,IB02
2004-04-02,12.59,19.85,1150,5.612,450,79.6,95.3,600,55.54,1350,2.113,234.6,7.61,1220,215.2,19.14,0.0,,,3.011986494064331,0.0,IB02
2004-04-03,13.18,20.32,1210,6.084,2330,61.59,94.6,10,29.62,1220,1.335,49.65,5.39,1420,47.32,21.37,0.0,,,3.3989412784576416,0.0,IB02
2004-04-04,12.22,20.18,1150,3.868,540,69.86,92.8,0,35.14,1050,1.883,244.6,6.233,1349,226.5,23.1,0.0,,,3.678056478500366,0.0,IB02
2004-04-05,13.85,21.38,1230,8.1,530,65.55,96.9,740,27.46,1400,1.725,238.7,5.41,1444,224.0,20.47,0.0,,,3.6982827186584473,0.0,IB02
2004-04-06,14.23,21.38,1500,8.31,530,70.5,95.3,0,32.45,1020,2.099,234.7,6.703,1008,242.0,24.19,0.0,,,4.102858543395996,0.0,IB02
2004-04-07,12.51,19.72,1040,7.3,250,79.4,96.8,740,48.67,1100,2.058,30.14,7.14,1128,60.61,17.05,0.0,,,3.0093634128570557,0.0,IB02
2004-04-08,12.48,17.09,1320,8.51,150,71.3,92.8,300,42.82,1250,1.46,65.8,4.792,1616,85.3,13.39,0.2,,,2.499408006668091,0.0,IB02
2004-04-09,9.47,12.47,1400,3.802,0,78.6,93.7,2350,49.84,1540,2.867,28.19,8.3,1400,50.11,9.47,3.6,,,2.0791783332824707,0.6899582743644714,IB02
2004-04-10,8.17,14.4,1200,1.045,510,75.2,95.8,450,47.06,1140,1.911,9.33,7.44,1222,46.18,16.82,0.0,,,2.514242172241211,0.0,IB02
2004-04-11,11.1,13.61,1110,7.83,2300,60.42,83.4,210,47.81,1220,3.829,31.08,11.09,954,44.85,12.27,0.4,,,2.7615561485290527,0.0,IB02
2004-04-12,10.83,18.24,1100,3.937,2350,66.85,92.1,2330,29.69,1210,2.161,245.8,7.89,1150,27.53,18.27,0.0,,,3.430713176727295,0.0,IB02
2004-04-13,9.13,18.17,1050,1.179,450,75.1,95.8,550,34.13,1140,1.304,264.7,5.243,1430,52.69,17.21,0.2,,,2.8327057361602783,0.0,IB02
2004-04-14,10.59,17.7,1120,0.775,320,71.2,96.1,520,31.91,1150,1.604,60.31,5.939,1100,146.8,17.98,0.0,,,3.0571463108062744,0.0,IB02
2004-04-15,13.37,15.95,1240,9.97,120,84.7,92.2,200,72.2,1240,3.73,38.97,8.4,1710,74.9,10.06,0.0,,,2.025357723236084,0.0,IB02
2004-04-16,14.19,17.16,1150,12.6,1820,86.3,95.6,320,66.25,1220,3.218,199.5,9.39,1041,185.8,8.06,13.0,,,2.017484188079834,7.721813201904297,IB02
2004-04-17,14.16,18.51,1230,9.84,2350,78.6,93.8,0,57.7,1730,1.978,225.0,7.18,208,234.5,17.91,0.0,,,2.963977813720703,0.0,IB02
2004-04-18,14.05,18.98,1240,9.04,430,71.8,95.9,520,41.88,1300,4.34,233.7,12.12,1434,242.6,21.17,0.0,,,4.046016216278076,0.0,IB02
2004-04-19,13.09,16.02,1620,8.04,0,50.77,87.0,0,31.91,1620,3.984,278.6,11.71,1134,290.8,23.2,0.0,,,4.1579108238220215,0.0,IB02
2004-04-20,16.07,23.54,1340,7.7,100,59.06,91.9,0,26.92,1340,2.856,246.8,8.66,707,217.9,26.43,0.0,,,5.206508636474609,0.0,IB02
2004-04-21,15.9,24.48,1150,7.43,510,66.67,94.9,440,33.25,1150,1.656,237.0,6.752,1214,222.9,26.77,0.0,,,4.617955684661865,0.0,IB02
2004-04-22,13.62,21.05,1300,7.5,230,78.0,93.5,2200,46.91,1410,2.265,234.1,8.11,2307,37.59,20.11,5.4,,,3.6282477378845215,2.180633783340454,IB02
2004-04-23,14.17,17.09,1550,12.33,30,77.6,87.2,2310,64.24,1210,2.89,14.87,9.7,254,29.36,8.95,2.6,,,2.2639222145080566,0.0,IB02
2004-04-24,16.87,23.4,1350,9.97,2350,63.0,88.8,2310,34.06,1510,1.415,268.8,6.527,1340,269.7,22.9,0.0,,,4.132296562194824,0.0,IB02
2004-04-25,14.89,23.07,1150,6.892,2350,70.9,93.3,0,33.18,1200,2.183,1.659,8.47,1230,60.5,27.59,0.0,,,4.803440093994141,0.0,IB02
2004-04-26,14.31,22.39,1140,5.343,400,58.53,94.7,240,22.28,1340,1.361,216.7,5.292,1323,87.2,26.95,0.0,,,4.408868312835693,0.0,IB02
2004-04-27,14.56,23.07,1350,4.938,520,53.66,86.3,520,24.84,1250,1.41,202.8,6.654,1446,156.7,27.7,0.0,,,4.580384731292725,0.0,IB02
2004-04-28,13.56,21.38,1120,4.871,520,81.3,93.7,2150,49.62,1020,1.926,57.46,6.184,1034,49.72,16.49,1.8,,,3.189249277114868,0.0,IB02
